rank,name,year,rating,genre,certificate,run_time
83,3 Idiots,2009,8.4,"Comedy,Drama",PG-13,2h 50m
84,Singin' in the Rain,1952,8.3,"Comedy,Musical,Romance",G,1h 43m
85,Requiem for a Dream,2000,8.3,Drama,Unrated,1h 42m
86,Toy Story 3,2010,8.3,"Animation,Adventure,Comedy",G,1h 43m
87,High and Low,1963,8.4,"Crime,Drama,Mystery",Not Rated,2h 23m
88,Capernaum,2018,8.4,Drama,R,2h 6m
89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy",PG,2h 11m
90,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama,Romance,Sci-Fi",R,1h 48m
91,2001: A Space Odyssey,1968,8.3,"Adventure,Sci-Fi",G,2h 29m
92,Reservoir Dogs,1992,8.3,"Crime,Thriller",R,1h 39m
93,Come and See,1985,8.4,"Drama,Thriller,War",Not Rated,2h 22m
94,The Hunt,2012,8.3,Drama,R,1h 55m
95,Citizen Kane,1941,8.3,"Drama,Mystery",PG,1h 59m
96,M,1931,8.3,"Crime,Mystery,Thriller",Passed,1h 39m
97,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama",Approved,3h 38m
98,North by Northwest,1959,8.3,"Action,Adventure,Mystery",Approved,2h 16m
99,Vertigo,1958,8.3,"Mystery,Romance,Thriller",PG,2h 8m
100,Ikiru,1952,8.3,Drama,Not Rated,2h 23m
101,Amélie,2001,8.3,"Comedy,Romance",R,2h 2m
102,The Apartment,1960,8.3,"Comedy,Drama,Romance",Approved,2h 5m
103,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi",X,2h 16m
104,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir",Passed,1h 47m
105,Full Metal Jacket,1987,8.3,"Drama,War",R,1h 56m
106,Top Gun: Maverick,2022,8.3,"Action,Drama",PG-13,2h 10m
107,Scarface,1983,8.3,"Crime,Drama",R,2h 50m
108,Hamilton,2020,8.4,"Biography,Drama,History",PG-13,2h 40m
109,Incendies,2010,8.3,"Drama,Mystery",R,2h 11m
110,To Kill a Mockingbird,1962,8.3,"Crime,Drama",Approved,2h 9m
111,Heat,1995,8.3,"Action,Crime,Drama",R,2h 50m
112,The Sting,1973,8.3,"Comedy,Crime,Drama",PG,2h 9m
113,Up,2009,8.3,"Animation,Adventure,Comedy",PG,1h 36m
114,A Separation,2011,8.3,Drama,PG-13,2h 3m
115,Metropolis,1927,8.3,"Drama,Sci-Fi",Not Rated,2h 33m
116,Taxi Driver,1976,8.2,"Crime,Drama",R,1h 54m
117,L.A. Confidential,1997,8.2,"Crime,Drama,Mystery",R,2h 18m
118,Die Hard,1988,8.2,"Action,Thriller",R,2h 12m
119,Snatch,2000,8.2,"Comedy,Crime",R,1h 42m
120,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure",PG-13,2h 7m
121,Bicycle Thieves,1948,8.3,Drama,Not Rated,1h 29m
122,Like Stars on Earth,2007,8.3,"Drama,Family",PG,2h 45m
123,1917,2019,8.2,"Action,Drama,War",R,1h 59m
124,Downfall,2004,8.2,"Biography,Drama,History",R,2h 36m
125,Dangal,2016,8.3,"Action,Biography,Drama",Not Rated,2h 41m
126,For a Few Dollars More,1965,8.2,Western,R,2h 12m
127,Batman Begins,2005,8.2,"Action,Crime,Drama",PG-13,2h 20m
128,The Kid,1921,8.3,"Comedy,Drama,Family",Passed,1h 8m
129,Some Like It Hot,1959,8.2,"Comedy,Music,Romance",Passed,2h 1m
130,The Father,2020,8.2,"Drama,Mystery",PG-13,1h 37m
131,All About Eve,1950,8.2,Drama,Passed,2h 18m
132,The Wolf of Wall Street,2013,8.2,"Biography,Comedy,Crime",R,3h
133,Green Book,2018,8.2,"Biography,Comedy,Drama",PG-13,2h 10m
134,Judgment at Nuremberg,1961,8.3,"Drama,War",Approved,2h 59m
135,Casino,1995,8.2,"Crime,Drama",R,2h 58m
136,Ran,1985,8.2,"Action,Drama,War",R,2h 42m
137,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War",R,1h 58m
138,The Truman Show,1998,8.2,"Comedy,Drama",PG,1h 43m
139,There Will Be Blood,2007,8.2,Drama,R,2h 38m
140,Unforgiven,1992,8.2,"Drama,Western",R,2h 10m
141,The Sixth Sense,1999,8.2,"Drama,Mystery,Thriller",PG-13,1h 47m
142,Shutter Island,2010,8.2,"Mystery,Thriller",R,2h 18m
143,A Beautiful Mind,2001,8.2,"Biography,Drama",PG-13,2h 15m
144,Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi",PG-13,2h 7m
145,Yojimbo,1961,8.2,"Action,Drama,Thriller",Not Rated,1h 50m
146,The Treasure of the Sierra Madre,1948,8.2,"Adventure,Drama,Western",Passed,2h 6m
147,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy",PG,1h 31m
148,The Great Escape,1963,8.2,"Adventure,Drama,History",Approved,2h 52m
149,No Country for Old Men,2007,8.2,"Crime,Drama,Thriller",R,2h 2m
150,Spider-Man: No Way Home,2021,8.2,"Action,Adventure,Fantasy",PG-13,2h 28m
151,Kill Bill: Vol. 1,2003,8.2,"Action,Crime,Drama",R,1h 51m
152,Rashomon,1950,8.2,"Crime,Drama,Mystery",Not Rated,1h 28m
153,The Thing,1982,8.2,"Horror,Mystery,Sci-Fi",R,1h 49m
154,Finding Nemo,2003,8.2,"Animation,Adventure,Comedy",G,1h 40m
155,The Elephant Man,1980,8.2,"Biography,Drama",PG,2h 4m
156,Chinatown,1974,8.2,"Drama,Mystery,Thriller",R,2h 10m
157,Raging Bull,1980,8.2,"Biography,Drama,Sport",R,2h 9m
158,V for Vendetta,2005,8.2,"Action,Drama,Sci-Fi",R,2h 12m
159,Gone with the Wind,1939,8.2,"Drama,Romance,War",Passed,3h 58m
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action,Comedy,Crime",R,1h 47m
161,Inside Out,2015,8.2,"Animation,Adventure,Comedy",PG,1h 35m
162,Dial M for Murder,1954,8.2,"Crime,Thriller",PG,1h 45m
163,The Secret in Their Eyes,2009,8.2,"Drama,Mystery,Romance",R,2h 9m
164,Howl's Moving Castle,2004,8.2,"Animation,Adventure,Family",PG,1h 59m
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy,Crime,Drama",R,1h 55m
166,The Bridge on the River Kwai,1957,8.2,"Adventure,Drama,War",PG,2h 41m
167,Trainspotting,1996,8.1,Drama,R,1h 33m
168,Prisoners,2013,8.1,"Crime,Drama,Mystery",R,2h 33m
169,Warrior,2011,8.2,"Action,Drama,Sport",PG-13,2h 20m
170,Fargo,1996,8.1,"Crime,Thriller",R,1h 38m
171,Gran Torino,2008,8.1,Drama,R,1h 56m
172,My Neighbor Totoro,1988,8.1,"Animation,Comedy,Family",G,1h 26m
173,Catch Me If You Can,2002,8.1,"Biography,Crime,Drama",PG-13,2h 21m
174,Million Dollar Baby,2004,8.1,"Drama,Sport",PG-13,2h 12m
175,Children of Heaven,1997,8.2,"Drama,Family,Sport",PG,1h 29m
176,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi",R,1h 57m
177,The Gold Rush,1925,8.1,"Adventure,Comedy,Drama",Passed,1h 35m
178,Before Sunrise,1995,8.1,"Drama,Romance",R,1h 41m
179,12 Years a Slave,2013,8.1,"Biography,Drama,History",R,2h 14m
180,Klaus,2019,8.2,"Animation,Adventure,Comedy",PG,1h 36m
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Adventure,Family,Fantasy",PG-13,2h 10m
182,On the Waterfront,1954,8.1,"Crime,Drama,Thriller",Approved,1h 48m
183,Ben-Hur,1959,8.1,"Adventure,Drama",G,3h 32m
184,Gone Girl,2014,8.1,"Drama,Mystery,Thriller",R,2h 29m
185,The Grand Budapest Hotel,2014,8.1,"Adventure,Comedy,Crime",R,1h 39m
186,Wild Strawberries,1957,8.1,"Drama,Romance",Not Rated,1h 31m
187,The General,1926,8.1,"Action,Adventure,Comedy",Passed,1h 7m
188,The Third Man,1949,8.1,"Film-Noir,Mystery,Thriller",Approved,1h 33m
189,In the Name of the Father,1993,8.1,"Biography,Crime,Drama",R,2h 13m
190,The Deer Hunter,1978,8.1,"Drama,War",R,3h 3m
191,Barry Lyndon,1975,8.1,"Adventure,Drama,War",PG,3h 5m
192,Hacksaw Ridge,2016,8.1,"Biography,Drama,History",R,2h 19m
193,The Wages of Fear,1953,8.2,"Adventure,Drama,Thriller",Not Rated,2h 11m
194,Memories of Murder,2003,8.1,"Crime,Drama,Mystery",Not Rated,2h 12m
195,Sherlock Jr.,1924,8.2,"Action,Comedy,Romance",Passed,45m
196,Wild Tales,2014,8.1,"Comedy,Drama,Thriller",R,2h 2m
197,Mr. Smith Goes to Washington,1939,8.1,"Comedy,Drama",Passed,2h 9m
198,Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi",R,2h
199,The Seventh Seal,1957,8.1,"Drama,Fantasy",Not Rated,1h 36m
